,Email,Date,Project,recent,Owner,Tasker Name,Year Recieved
0,Moses_Okuneva817@mail.com,6/12/2024,,360.75,Mostafa,Omar abu Rizk,2024
1,Moses_Okuneva817@mail.com,6/9/2024,,0.01,Mostafa,Omar abu Rizk,2024
2,RobynDavies657@mail.com,6/12/2024,,945.52,Mostafa,Rana Adel,2024
3,HarleyFraser354@mail.com,6/12/2024,,547.69,Mostafa,Mostafa Shaban,2024
4,GabrielBailey686@mail.com,6/12/2024,,1005.36,Mostafa,somia shrif,2024
5,LeonBradley4563@mail.com,6/12/2024,,985.86,Mostafa,ziad saleh,2024
6,Smith_Saunders32@mail.com,6/12/2024,,17.3,Mostafa,ahmed elaraby,2024
7,Smith_Saunders32@mail.com,6/7/2024,,0.01,Mostafa,ahmed elaraby,2024
8,Ethan_Robertson51@mail.com,6/12/2024,,380.0,Mostafa,Seif Elden,2024
9,Ethan_Robertson51@mail.com,6/7/2024,,0.01,Mostafa,Seif Elden,2024
10,Christian_Dicki43@mail.com,6/12/2024,,385.34,Mostafa,Menna mohamed,2024
11,Christian_Dicki43@mail.com,6/7/2024,,0.01,Mostafa,Menna mohamed,2024
12,Tommie_Baumbach21@mail.com,6/12/2024,,268.12,Mostafa,Abdelrahman Mohamed elbendary,2024
13,Tommie_Baumbach21@mail.com,6/7/2024,,0.01,Mostafa,Abdelrahman Mohamed elbendary,2024
14,Marshall_Adams24@mail.com,6/8/2024,,0.01,,Mohamed samy,2024
15,Andrew_Rose123@mail.com,6/12/2024,,353.72,,Hoda el daly,2024
16,Andrew_Rose123@mail.com,6/8/2024,,0.01,,Hoda el daly,2024
17,Logan_Isco12@mail.com,6/12/2024,,945.81,,Mohamed Abdallah,2024
18,Logan_Isco12@mail.com,6/8/2024,,0.01,,Mohamed Abdallah,2024
19,Tomas_Rath21@mail.com,6/12/2024,,638.85,,Saeed Ahmed ,2024
20,Tomas_Rath21@mail.com,6/8/2024,,0.01,,Saeed Ahmed ,2024
21,Jacobs_Moore21@mail.com,6/12/2024,,425.53,,Abdalrahman Mousa,2024
22,Jacobs_Moore21@mail.com,6/8/2024,,0.01,,Abdalrahman Mousa,2024
23,Willard_Haley752@mail.com,6/12/2024,,617.0,,Ahmed Gaber,2024
24,Willard_Haley752@mail.com,6/8/2024,,0.01,,Ahmed Gaber,2024
25,Jordyn_Kutch276@mail.com,6/12/2024,,478.14,,ziad Mostafa megahed,2024
26,Jordyn_Kutch276@mail.com,6/8/2024,,0.01,,ziad Mostafa megahed,2024
27,Steffan_Hall912@mail.com,6/12/2024,,304.68,,Hazem Magdy,2024
28,Steffan_Hall912@mail.com,6/8/2024,,0.01,,Hazem Magdy,2024
29,Ryan_Jones214@mail.com,6/12/2024,,522.43,,Tarek Hesham ,2024
30,Ryan_Jones214@mail.com,6/8/2024,,0.01,,Tarek Hesham ,2024
31,Jadon_Franecki23@mail.com,6/12/2024,,754.63,,Lila abdelnasr,2024
32,Jadon_Franecki23@mail.com,6/8/2024,,0.01,,Lila abdelnasr,2024
33,Peyton_McKenzie51@mail.com,6/12/2024,,347.14,,Mohamed Nasser,2024
34,Peyton_McKenzie51@mail.com,6/9/2024,,0.01,,Mohamed Nasser,2024
35,William_Durgan431@mail.com,6/12/2024,,660.21,,Ammar Ahmed,2024
36,William_Durgan431@mail.com,6/9/2024,,0.01,,Ammar Ahmed,2024
37,Samuel_Kelly421@mail.com,6/12/2024,,574.96,,Abo bakr,2024
38,Samuel_Kelly421@mail.com,6/9/2024,,0.01,,Abo bakr,2024
39,Patrick_Cook61@mail.com,6/12/2024,,332.15,,ahmed talat,2024
40,Patrick_Cook61@mail.com,6/9/2024,,0.01,,ahmed talat,2024
41,Peter_Bennett57@mail.com,6/12/2024,,228.07,,Mahmoud Hassan,2024
42,Peter_Bennett57@mail.com,6/9/2024,,0.01,,Mahmoud Hassan,2024
